Ziehungstag;Zahl1;Zahl2;Zahl3;Zahl4;Zahl5;Stern1;Stern2;Rang;Zahlen;Sterne;Europa;Österreich;Quoten;
Di. 03.01.2023;20;21;29;45;46;3;10;1;5;2;JP;JP;  26.981.448,90;
;;;;;;;;2;5;1;           2;           0;     260.515,80;
;;;;;;;;3;5;0;           5;           1;      24.354,70;
;;;;;;;;4;4;2;          21;           3;       1.806,10;
;;;;;;;;5;4;1;         400;          14;         174,60;
;;;;;;;;6;3;2;         923;          48;          80,00;
;;;;;;;;7;4;0;         903;          57;          57,40;
;;;;;;;;8;2;2;      15.877;         857;          16,30;
;;;;;;;;9;3;1;      20.261;       1.170;          14,20;
;;;;;;;;10;3;0;      46.476;       2.549;          11,50;
;;;;;;;;11;1;2;      90.728;       4.659;           7,10;
;;;;;;;;12;2;1;     331.619;      17.229;           6,20;
;;;;;;;;13;2;0;     755.050;      38.227;           4,30;
Fr. 06.01.2023;16;31;35;44;45;4;12;1;5;2;JP;JP;  40.092.766,40;
;;;;;;;;2;5;1;           2;           0;     342.205,30;
;;;;;;;;3;5;0;           0;           0;wird dem Rang 4+2 zugeschlagen;
;;;;;;;;4;4;2;          21;           2;       9.989,50;
;;;;;;;;5;4;1;         535;          29;         171,50;
;;;;;;;;6;3;2;       1.290;          50;          75,20;
;;;;;;;;7;4;0;       1.362;          56;          50,00;
;;;;;;;;8;2;2;      17.414;         760;          19,50;
;;;;;;;;9;3;1;      25.411;       1.069;          14,90;
;;;;;;;;10;3;0;      63.472;       2.473;          11,10;
;;;;;;;;11;1;2;      94.055;       4.141;           9,10;
;;;;;;;;12;2;1;     390.026;      15.868;           6,90;
;;;;;;;;13;2;0;     986.599;      38.230;           4,40;
Di. 10.01.2023;11;13;34;40;42;3;10;1;5;2;JP;JP;  51.358.214,50;
;;;;;;;;2;5;1;           0;           0;wird dem Rang 5+0 zugeschlagen;
;;;;;;;;3;5;0;           5;           1;     145.098,90;
;;;;;;;;4;4;2;          28;           2;       1.528,80;
;;;;;;;;5;4;1;         552;          33;         142,80;
;;;;;;;;6;3;2;       1.334;          80;          62,40;
;;;;;;;;7;4;0;       1.342;          86;          43,60;
;;;;;;;;8;2;2;      19.941;       1.045;          14,60;
;;;;;;;;9;3;1;      25.943;       1.397;          12,50;
;;;;;;;;10;3;0;      59.495;       3.154;          10,20;
;;;;;;;;11;1;2;     105.242;       5.352;           7,00;
;;;;;;;;12;2;1;     398.664;      20.507;           5,80;
;;;;;;;;13;2;0;     911.043;      45.842;           4,10;
Fr. 13.01.2023;4;13;25;33;37;5;10;1;5;2;           1;           0;  68.825.114,00;
;;;;;;;;2;5;1;           5;           1;     182.354,40;
;;;;;;;;3;5;0;          11;           1;      19.372,30;
;;;;;;;;4;4;2;          66;           3;       1.005,60;
;;;;;;;;5;4;1;       1.124;          36;         108,70;
;;;;;;;;6;3;2;       2.343;          85;          55,10;
;;;;;;;;7;4;0;       2.818;          96;          32,20;
;;;;;;;;8;2;2;      31.940;       1.273;          14,20;
;;;;;;;;9;3;1;      48.995;       1.763;          10,30;
;;;;;;;;10;3;0;     116.575;       4.288;           8,00;
;;;;;;;;11;1;2;     163.100;       6.610;           7,00;
;;;;;;;;12;2;1;     667.206;      24.793;           5,30;
;;;;;;;;13;2;0;   1.566.569;      58.517;           3,60;
Di. 17.01.2023;18;21;30;46;50;2;6;1;5;2;JP;JP;  17.000.000,00;
;;;;;;;;2;5;1;           6;           0;      82.263,60;
;;;;;;;;3;5;0;           3;           0;      38.452,70;
;;;;;;;;4;4;2;          30;           1;       1.197,70;
;;;;;;;;5;4;1;         415;          19;         159,40;
;;;;;;;;6;3;2;       1.174;          58;          59,60;
;;;;;;;;7;4;0;         962;          50;          51,10;
;;;;;;;;8;2;2;      18.805;         819;          13,00;
;;;;;;;;9;3;1;      21.186;       1.000;          12,90;
;;;;;;;;10;3;0;      46.272;       2.226;          11,00;
;;;;;;;;11;1;2;     107.208;       4.948;           5,70;
;;;;;;;;12;2;1;     330.237;      15.526;           5,80;
;;;;;;;;13;2;0;     717.298;      34.237;           4,30;
Fr. 20.01.2023;3;6;13;40;42;7;11;1;5;2;JP;JP;  30.055.348,30;
;;;;;;;;2;5;1;           4;           0;     170.372,20;
;;;;;;;;3;5;0;           8;           0;      19.909,40;
;;;;;;;;4;4;2;          36;           0;       1.378,00;
;;;;;;;;5;4;1;         726;          39;         125,80;
;;;;;;;;6;3;2;       1.649;          64;          58,50;
;;;;;;;;7;4;0;       1.588;          68;          42,70;
;;;;;;;;8;2;2;      24.580;         966;          13,80;
;;;;;;;;9;3;1;      34.871;       1.370;          10,80;
;;;;;;;;10;3;0;      78.980;       3.234;           8,90;
;;;;;;;;11;1;2;     127.330;       5.108;           6,70;
;;;;;;;;12;2;1;     506.287;      20.162;           5,30;
;;;;;;;;13;2;0;   1.128.008;      44.744;           3,80;
Di. 24.01.2023;11;27;41;43;47;7;11;1;5;2;JP;JP;  40.135.672,40;
;;;;;;;;2;5;1;           2;           0;     263.096,40;
;;;;;;;;3;5;0;           4;           0;      30.744,90;
;;;;;;;;4;4;2;          34;           1;       1.126,60;
;;;;;;;;5;4;1;         496;          25;         142,20;
;;;;;;;;6;3;2;       1.315;          69;          56,70;
;;;;;;;;7;4;0;       1.076;          50;          48,70;
;;;;;;;;8;2;2;      19.025;         877;          13,70;
;;;;;;;;9;3;1;      24.315;       1.205;          12,00;
;;;;;;;;10;3;0;      50.173;       2.649;          10,80;
;;;;;;;;11;1;2;      98.362;       4.744;           6,70;
;;;;;;;;12;2;1;     360.151;      17.825;           5,70;
;;;;;;;;13;2;0;     748.772;      38.581;           4,40;
Fr. 27.01.2023;8;9;15;19;31;10;12;1;5;2;JP;JP;  54.426.133,20;
;;;;;;;;2;5;1;           4;           0;     186.490,50;
;;;;;;;;3;5;0;          13;           0;      13.411,00;
;;;;;;;;4;4;2;          33;           1;       1.645,50;
;;;;;;;;5;4;1;         797;          28;         125,50;
;;;;;;;;6;3;2;       1.505;          62;          70,20;
;;;;;;;;7;4;0;       2.624;          96;          28,30;
;;;;;;;;8;2;2;      20.087;         975;          18,40;
;;;;;;;;9;3;1;      33.629;       1.424;          12,30;
;;;;;;;;10;3;0;     111.310;       3.996;           6,90;
;;;;;;;;11;1;2;     101.419;       4.829;           9,20;
;;;;;;;;12;2;1;     465.139;      20.826;           6,30;
;;;;;;;;13;2;0;   1.474.197;      55.520;           3,20;
Di. 31.01.2023;7;12;19;33;43;3;7;1;5;2;           1;           0;  66.081.021,00;
;;;;;;;;2;5;1;           3;           0;     202.795,00;
;;;;;;;;3;5;0;           5;           0;      28.437,90;
;;;;;;;;4;4;2;          99;           3;         447,30;
;;;;;;;;5;4;1;         972;          64;          83,90;
;;;;;;;;6;3;2;       3.897;         156;          22,10;
