Datum;Reihenfolge;Zahl1;Zahl2;Zahl3;Zahl4;Zahl5;Zahl6;ZZ;Zusatzzahl;Rang_1_5;Anzahl_1_5;a_1_5;Quote_1_5;Rang_2_6;Anzahl_2_6;a_2_6;Quote_2_6;Rang_3_7;Anzahl_3_7;a_3_7;Quote_3_7;Rang_4_8;Anzahl_4_8;a_4_8;Quote_4_8;
02.01.;aufsteigend;11;19;20;30;34;38;ZZ;25;6er;               2;à;         817.096,50;5er + ZZ;               3;à;         110.269,20;5er;             123;à;           1.151,90;4er + ZZ;             219;à;             194,00;
02.01.;;;;;;;;;;4er;           4.982;à;              47,40;3er + ZZ;           5.950;à;              17,80;3er;          80.397;à;               5,30;ZZ;         234.985;à;               1,20;
05.01.;aufsteigend;4;14;29;35;39;40;ZZ;36;6er;JP;;         678.795,10;5er + ZZ;               1;à;          93.334,30;5er;              81;à;           1.257,00;4er + ZZ;             167;à;             182,90;
05.01.;;;;;;;;;;4er;           3.374;à;              50,20;3er + ZZ;           3.933;à;              19,40;3er;          55.942;à;               5,40;ZZ;         162.506;à;               1,20;
09.01.;aufsteigend;2;3;5;11;19;44;ZZ;24;6er;DJP;;       1.513.687,40;5er + ZZ;               4;à;          28.699,40;5er;             131;à;             955,90;4er + ZZ;             353;à;             106,40;
09.01.;;;;;;;;;;4er;           6.389;à;              32,60;3er + ZZ;           7.477;à;              12,50;3er;          92.373;à;               4,00;ZZ;         204.357;à;               1,20;
12.01.;aufsteigend;4;9;29;30;32;38;ZZ;14;6er;3JP;;       2.423.879,90;5er + ZZ;               4;à;          31.287,80;5er;              64;à;           2.133,20;4er + ZZ;             241;à;             169,90;
12.01.;;;;;;;;;;4er;           4.374;à;              52,00;3er + ZZ;           6.380;à;              16,00;3er;          76.643;à;               5,30;ZZ;         228.443;à;               1,20;
14.01.;aufsteigend;6;14;20;29;34;41;ZZ;11;6er;               1;à;       3.264.949,30;5er + ZZ;               2;à;          57.823,50;5er;              78;à;           1.617,40;4er + ZZ;             257;à;             147,20;
14.01.;;;;;;;;;;4er;           4.360;à;              48,20;3er + ZZ;           6.368;à;              14,80;3er;          68.732;à;               5,50;ZZ;         243.371;à;               1,20;
16.01.;aufsteigend;6;7;9;37;41;43;ZZ;32;6er;JP;;         711.680,30;5er + ZZ;JP;;          97.856,00;5er;              75;à;           1.423,30;4er + ZZ;             167;à;             191,70;
16.01.;;;;;;;;;;4er;           3.482;à;              51,00;3er + ZZ;           4.540;à;              17,60;3er;          61.323;à;               5,20;ZZ;         174.959;à;               1,20;
19.01.;aufsteigend;9;10;11;21;32;43;ZZ;44;6er;DJP;;       1.505.229,00;5er + ZZ;               1;à;         206.968,90;5er;              73;à;           1.630,50;4er + ZZ;             221;à;             161,50;
19.01.;;;;;;;;;;4er;           4.742;à;              41,80;3er + ZZ;           5.556;à;              16,00;3er;          74.659;à;               4,80;ZZ;         188.973;à;               1,20;
23.01.;aufsteigend;5;27;29;31;35;44;ZZ;37;6er;3JP;;       2.501.615,90;5er + ZZ;               2;à;          68.501,60;5er;              91;à;           1.642,30;4er + ZZ;             229;à;             195,70;
23.01.;;;;;;;;;;4er;           5.221;à;              47,70;3er + ZZ;           6.380;à;              17,50;3er;          85.377;à;               5,20;ZZ;         225.373;à;               1,20;
26.01.;aufsteigend;2;19;23;36;38;39;ZZ;7;6er;4JP;;       3.547.027,90;5er + ZZ;               4;à;          35.936,00;5er;             102;à;           1.537,30;4er + ZZ;             279;à;             168,60;
26.01.;;;;;;;;;;4er;           5.134;à;              50,90;3er + ZZ;           7.583;à;              15,50;3er;          84.778;à;               5,50;ZZ;         311.548;à;               1,20;
30.01.;aufsteigend;11;14;34;37;39;40;ZZ;42;6er;               2;à;       2.460.412,90;5er + ZZ;               4;à;          47.224,30;5er;             139;à;           1.482,50;4er + ZZ;             349;à;             177,10;
30.01.;;;;;;;;;;4er;           6.865;à;              50,00;3er + ZZ;           9.272;à;              16,60;3er;         111.947;à;               5,50;ZZ;         344.969;à;               1,20;
02.02.;aufsteigend;4;8;10;15;18;27;ZZ;45;6er;JP;;         649.793,70;5er + ZZ;               2;à;          44.673,30;5er;             124;à;             786,00;4er + ZZ;             233;à;             125,40;
02.02.;;;;;;;;;;4er;           4.925;à;              32,90;3er + ZZ;           4.995;à;              14,60;3er;          69.246;à;               4,20;ZZ;         161.029;à;               1,20;
06.02.;aufsteigend;7;16;17;32;36;39;ZZ;37;6er;DJP;;       1.552.040,20;5er + ZZ;JP;;         124.058,90;5er;             100;à;           1.353,30;4er + ZZ;             232;à;             175,00;
06.02.;;;;;;;;;;4er;           5.069;à;              44,40;3er + ZZ;           5.964;à;              17,00;3er;          79.937;à;               5,10;ZZ;         202.610;à;               1,20;
09.02.;aufsteigend;1;4;21;29;31;34;ZZ;12;6er;3JP;;       2.443.586,20;5er + ZZ;               5;à;          49.329,20;5er;              96;à;           1.393,00;4er + ZZ;             290;à;             138,30;
09.02.;;;;;;;;;;4er;           4.658;à;              47,80;3er + ZZ;           7.114;à;              14,00;3er;          75.574;à;               5,30;ZZ;         246.198;à;               1,20;
11.02.;aufsteigend;2;7;22;37;40;44;ZZ;21;6er;4JP;;       3.291.022,50;5er + ZZ;               1;à;         116.522,40;5er;              85;à;           1.495,40;4er + ZZ;             240;à;             158,80;
11.02.;;;;;;;;;;4er;           4.276;à;              49,50;3er + ZZ;           5.947;à;              16,00;3er;          70.429;à;               5,40;ZZ;         232.137;à;               1,20;
13.02.;aufsteigend;13;17;23;26;35;37;ZZ;5;6er;               1;à;       4.240.390,90;5er + ZZ;JP;;         130.538,10;5er;             101;à;           1.409,90;4er + ZZ;             308;à;             138,70;
13.02.;;;;;;;;;;4er;           4.945;à;              47,90;3er + ZZ;           7.933;à;              13,40;3er;          81.876;à;               5,20;ZZ;         280.896;à;               1,20;
16.02.;aufsteigend;12;17;23;24;28;45;ZZ;44;6er;JP;;         620.931,50;5er + ZZ;               2;à;         107.958,10;5er;              66;à;           1.411,20;4er + ZZ;             164;à;             170,30;
16.02.;;;;;;;;;;4er;           3.430;à;              45,20;3er + ZZ;           4.064;à;              17,10;3er;          56.421;à;               4,90;ZZ;         146.891;à;               1,20;
20.02.;aufsteigend;2;10;17;24;35;37;ZZ;42;6er;DJP;;       1.494.720,10;5er + ZZ;JP;;         120.145,90;5er;              98;à;           1.337,40;4er + ZZ;             248;à;             158,50;
20.02.;;;;;;;;;;4er;           4.540;à;              48,10;3er + ZZ;           5.784;à;              16,90;3er;          75.068;à;               5,20;ZZ;         217.978;à;               1,20;
23.02.;aufsteigend;1;3;21;23;35;43;ZZ;44;6er;3JP;;       2.388.666,60;5er + ZZ;DJP;;         243.063,50;5er;             112;à;           1.197,20;4er + ZZ;             235;à;             171,10;
23.02.;;;;;;;;;;4er;           4.832;à;              46,20;3er + ZZ;           6.338;à;              15,80;3er;          79.792;à;               5,00;ZZ;         220.224;à;               1,20;
27.02.;aufsteigend;1;10;23;25;35;39;ZZ;5;6er;               2;à;       1.765.837,00;5er + ZZ;               5;à;          80.045,40;5er;             183;à;             936,80;4er + ZZ;             377;à;             136,40;
27.02.;;;;;;;;;;4er;           6.074;à;              47,00;3er + ZZ;           9.077;à;              14,10;3er;          95.654;à;               5,40;ZZ;         328.619;à;               1,20;
02.03.;aufsteigend;4;12;20;25;29;36;ZZ;1;6er;JP;;         635.278,70;5er + ZZ;               1;à;          87.350,80;5er;              64;à;           1.488,90;4er + ZZ;             209;à;             136,70;
02.03.;;;;;;;;;;4er;           3.321;à;              47,80;3er + ZZ;           5.000;à;              14,20;3er;          54.241;à;               5,20;ZZ;         168.061;à;               1,20;
06.03.;aufsteigend;11;22;24;29;39;40;ZZ;9;6er;               1;à;       1.521.433,70;5er + ZZ;               3;à;          40.615,40;5er;              81;à;           1.641,00;4er + ZZ;             281;à;             141,90;
06.03.;;;;;;;;;;4er;           4.424;à;              50,00;3er + ZZ;           7.081;à;              14,00;3er;          75.416;à;               5,30;ZZ;         256.079;à;               1,20;
09.03.;aufsteigend;2;22;32;33;34;41;ZZ;42;6er;JP;;         609.768,40;5er + ZZ;JP;;          83.843,10;5er;              52;à;           1.758,90;4er + ZZ;             166;à;             165,20;
09.03.;;;;;;;;;;4er;           3.098;à;              49,20;3er + ZZ;           4.269;à;              16,00;3er;          51.147;à;               5,30;ZZ;         150.965;à;               1,20;
11.03.;aufsteigend;7;16;19;29;32;37;ZZ;30;6er;DJP;;       1.255.270,10;5er + ZZ;               3;à;          57.533,20;5er;              73;à;           1.326,30;4er + ZZ;             166;à;             174,90;
11.03.;;;;;;;;;;4er;           3.368;à;              47,90;3er + ZZ;           4.177;à;              17,30;3er;          55.524;à;               5,20;ZZ;         167.618;à;               1,20;
13.03.;aufsteigend;7;8;14;32;39;41;ZZ;33;6er;3JP;;       1.961.870,70;5er + ZZ;               1;à;          97.157,50;5er;              76;à;           1.394,60;4er + ZZ;             167;à;             190,40;
13.03.;;;;;;;;;;4er;           3.469;à;              50,90;3er + ZZ;           4.806;à;              16,50;3er;          59.316;à;               5,30;ZZ;         185.033;à;               1,20;
16.03.;aufsteigend;2;22;26;27;28;43;ZZ;40;6er;               2;à;       1.440.420,50;5er + ZZ;               5;à;          25.271,60;5er;              90;à;           1.531,60;4er + ZZ;             258;à;             160,20;
16.03.;;;;;;;;;;4er;           4.733;à;              48,50;3er + ZZ;           6.451;à;              16,00;3er;          81.561;à;               5,00;ZZ;         221.387;à;               1,20;
20.03.;aufsteigend;10;14;15;17;19;36;ZZ;5;6er;JP;;         701.751,80;5er + ZZ;               2;à;          48.245,40;5er;              69;à;           1.525,50;4er + ZZ;             216;à;             146,10;
20.03.;;;;;;;;;;4er;           3.340;à;              52,50;3er + ZZ;           5.806;à;              13,50;3er;          57.010;à;               5,50;ZZ;         201.139;à;               1,20;
23.03.;aufsteigend;1;2;10;14;17;24;ZZ;34;6er;DJP;;       1.423.964,60;5er + ZZ;               3;à;          33.101,40;5er;             113;à;             958,60;4er + ZZ;             234;à;             138,80;
23.03.;;;;;;;;;;4er;           4.712;à;              38,30;3er + ZZ;           5.011;à;              16,20;3er;          69.857;à;               4,60;ZZ;         173.217;à;               1,20;
27.03.;aufsteigend;13;18;32;40;43;45;ZZ;44;6er;3JP;;       2.341.175,30;5er + ZZ;               4;à;          31.529,10;5er;              99;à;           1.389,70;4er + ZZ;             285;à;             144,80;
27.03.;;;;;;;;;;4er;           4.450;à;              51,50;3er + ZZ;           7.176;à;              14,30;3er;          73.317;à;               5,60;ZZ;         231.275;à;               1,20;
30.03.;aufsteigend;5;12;23;24;25;40;ZZ;7;6er;               1;à;       3.289.627,60;5er + ZZ;               3;à;          43.470,70;5er;             103;à;           1.381,20;4er + ZZ;             335;à;             127,40;
30.03.;;;;;;;;;;4er;           5.174;à;              45,80;3er + ZZ;           8.358;à;              12,70;3er;          84.014;à;               5,10;ZZ;         274.021;à;               1,20;
03.04.;aufsteigend;3;17;26;33;41;45;ZZ;4;6er;               1;à;       1.000.000,00;5er + ZZ;               3;à;          32.431,00;5er;             110;à;             964,80;4er + ZZ;             215;à;             148,00;
03.04.;;;;;;;;;;4er;           4.556;à;              38,80;3er + ZZ;           5.278;à;              15,00;3er;          68.130;à;               4,60;ZZ;         205.570;à;               1,20;
06.04.;aufsteigend;10;39;41;42;43;44;ZZ;25;6er;JP;;         595.308,70;5er + ZZ;               2;à;          40.927,40;5er;             158;à;             565,10;4er + ZZ;             165;à;             162,30;
