;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2010 Lotto - Beträge in EUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 Datum;;Reihenfolge;Zahlen;;;;;;;;;Anzahl    ;;Quote;;Anzahl ;;Quote;;Anzahl;;Quote;;Anzahl;;Quote;;;;;;
Mi;08.9.;aufsteigend;4;30;31;32;34;38;Zz;33;6er;JP;;877.301,90;5er + ZZ;5;à;24.125,80;5er;99;à;1.329,20;4er + ZZ;504;à;91,30;;;;;;
;;gezogen;32;30;38;4;34;31;Zz;33;4er;4.161;à;52,10;3er + ZZ;6.464;à;16,20;3er;70.308;à;5,40;ZZ;275.613;à;1,10;;;;;;
So;12.9.;aufsteigend;1;9;19;34;39;43;Zz;8;6er;1;à;2.205.765,30;5er + ZZ;2;à;91.331,80;5er;178;à;1.119,40;4er + ZZ;398;à;175,20;;;;;;
;;gezogen;43;39;9;1;34;19;Zz;8;4er;8.154;à;40,30;3er + ZZ;10.752;à;14,80;3er;129.114;à;4,50;ZZ;417.663;à;1,10;;;;;;
Mi;15.9.;aufsteigend;5;6;26;34;35;42;Zz;22;6er;JP;;830.607,20;5er + ZZ;JP;;114.208,40;5er;82;à;1.519,40;4er + ZZ;269;à;162,10;;;;;;
;;gezogen;42;35;6;26;34;5;Zz;22;4er;4.233;à;48,50;3er + ZZ;6.666;à;14,90;3er;75.592;à;4,80;ZZ;235.433;à;1,10;;;;;;
So;19.9.;aufsteigend;6;17;20;26;34;36;Zz;16;6er;DJP;;2.173.795,00;5er + ZZ;7;à;42.699,50;5er;154;à;1.308,20;4er + ZZ;555;à;127,00;;;;;;
;;gezogen;34;17;6;26;20;36;Zz;16;4er;8.005;à;41,50;3er + ZZ;11.879;à;13,50;3er;127.067;à;4,60;ZZ;382.085;à;1,10;;;;;;
Mi;22.9.;aufsteigend;2;9;10;14;29;40;Zz;11;6er;3JP;;3.636.367,60;5er + ZZ;4;à;50.275,90;5er;208;à;1.054,70;4er + ZZ;534;à;143,70;;;;;;
;;gezogen;9;14;29;10;2;40;Zz;11;4er;9.801;à;36,90;3er + ZZ;13.458;à;13,00;3er;149.712;à;4,20;ZZ;441.965;à;1,10;;;;;;
So;26.9.;aufsteigend;2;12;15;33;34;45;Zz;42;6er;1;à;5.625.137,00;5er + ZZ;8;à;34.181,90;5er;279;à;1.069,20;4er + ZZ;588;à;177,50;;;;;;
;;gezogen;12;2;33;45;34;15;Zz;42;4er;11.855;à;41,50;3er + ZZ;14.743;à;16,10;3er;188.467;à;4,60;ZZ;541.211;à;1,10;;;;;;
Mi;29.9.;aufsteigend;9;17;26;33;35;36;Zz;28;6er;JP;;785.156,20;5er + ZZ;5;à;21.591,70;5er;126;à;934,70;4er + ZZ;306;à;134,70;;;;;;
;;gezogen;26;33;35;36;9;17;Zz;28;4er;5.413;à;35,80;3er + ZZ;6.924;à;13,60;3er;79.377;à;4,30;ZZ;233.020;à;1,10;;;;;;
So;3.10.;aufsteigend;1;17;24;25;26;31;Zz;36;6er;DJP;;2.150.087,50;5er + ZZ;6;à;31.279,60;5er;162;à;1.263,80;4er + ZZ;357;à;200,70;;;;;;
;;gezogen;26;1;24;25;31;17;Zz;36;4er;7.344;à;45,90;3er + ZZ;9.197;à;17,80;3er;124.271;à;4,80;ZZ;358.875;à;1,10;;;;;;
Mi;6.10.;aufsteigend;23;27;36;39;40;43;Zz;10;6er;2;à;1.840.631,00;5er + ZZ;11;à;19.139,60;5er;200;à;1.148,30;4er + ZZ;485;à;165,70;;;;;;
;;gezogen;36;23;39;43;27;40;Zz;10;4er;9.327;à;40,60;3er + ZZ;12.792;à;14,30;3er;145.721;à;4,60;ZZ;478.736;à;1,10;;;;;;
So;10.10.;aufsteigend;7;9;18;21;24;44;Zz;15;6er;JP;;971.789,80;5er + ZZ;4;à;33.405,20;5er;121;à;1.204,60;4er + ZZ;308;à;165,60;;;;;;
;;gezogen;21;44;9;18;7;24;Zz;15;4er;6.140;à;39,10;3er + ZZ;7.162;à;16,20;3er;101.060;à;4,20;ZZ;284.491;à;1,10;;;;;;
Mi;13.10.;aufsteigend;2;3;13;30;35;40;Zz;20;6er;1;à;2.196.800,00;5er + ZZ;2;à;84.219,40;5er;137;à;1.341,20;4er + ZZ;414;à;155,30;;;;;;
;;gezogen;13;2;35;3;40;30;Zz;20;4er;6.629;à;45,70;3er + ZZ;10.455;à;14,00;3er;113.477;à;4,70;ZZ;334.682;à;1,10;;;;;;
So;17.10.;aufsteigend;23;25;28;30;40;44;Zz;11;6er;JP;;952.345,50;5er + ZZ;3;à;43.649,10;5er;92;à;1.552,70;4er + ZZ;245;à;204,00;;;;;;
;;gezogen;44;23;40;28;30;25;Zz;11;4er;4.489;à;52,50;3er + ZZ;7.004;à;16,30;3er;78.812;à;5,30;ZZ;309.657;à;1,10;;;;;;
Mi;20.10.;aufsteigend;2;10;12;22;25;34;Zz;42;6er;1;à;2.183.888,50;5er + ZZ;5;à;33.867,40;5er;184;à;1.003,90;4er + ZZ;488;à;132,40;;;;;;
;;gezogen;2;12;25;34;22;10;Zz;42;4er;8.204;à;37,10;3er + ZZ;10.430;à;14,10;3er;125.973;à;4,30;ZZ;339.095;à;1,10;;;;;;
So;24.10.;aufsteigend;5;25;31;36;41;43;Zz;45;6er;1;à;1.000.000,00;5er + ZZ;3;à;41.900,90;5er;86;à;1.594,50;4er + ZZ;245;à;195,90;;;;;;
;;gezogen;25;43;36;41;5;31;Zz;45;4er;4.464;à;50,60;3er + ZZ;6.735;à;16,20;3er;76.424;à;5,20;ZZ;256.414;à;1,10;;;;;;
Mi;27.10.;aufsteigend;1;15;24;33;34;44;Zz;43;6er;1;à;1.000.000,00;5er + ZZ;2;à;50.697,90;5er;81;à;1.365,60;4er + ZZ;216;à;179,20;;;;;;
;;gezogen;24;33;15;44;34;1;Zz;43;4er;4.197;à;43,40;3er + ZZ;4.810;à;18,30;3er;65.069;à;4,90;ZZ;199.731;à;1,10;;;;;;
